source,delivery_id,name,phone,address,city,district,lat,lng,rating,total_reviews,is_open,url
shopeefood,29617,Chân Gà Nướng Thịnh Vượng,0919392628,"5 Lý Văn Phức, P. Cát Linh, Đống Đa, Hà Nội",Hà Nội,,21.030894,105.831942,4.8,1000,True,https://shopeefood.vn/ha-noi/chan-ga-nuong-thinh-vuong
shopeefood,21641,Quán Cơm Hạt Dẻ - Cơm Gà Online,0903169886,"10 Ngõ 68 Triều Khúc, Thanh Xuân, Hà Nội",Hà Nội,,20.983461,105.799822,4.8,1000,True,https://shopeefood.vn/ha-noi/o-ga-com-ga-de-nhat
shopeefood,16325,Bánh Tráng Nướng & Chè Hạt Đác - 111 Đội Cấn,0388330316,"149 Đội Cấn, P. Ngọc Hà, Ba Đình, Hà Nội",Hà Nội,,21.03511841,105.82691061,4.7,1000,True,https://shopeefood.vn/ha-noi/banh-trang-nuong-che-hat-dac-111-doi-can
shopeefood,10941,Cha Go Tea & Caf'e - Dương Quảng Hàm,02422162636,"77 Dương Quảng Hàm, P. Quan Hoa, Cầu Giấy, Hà Nội",Hà Nội,,21.034788,105.799837,4.7,1000,True,https://shopeefood.vn/ha-noi/cha-go-tea-caf-e-duong-quang-ham
shopeefood,20638,Gà Rán & Burger McDonald's - Hồ Gươm,02488838385,"2 Hàng Bài, P. Tràng Tiền, Hoàn Kiếm, Hà Nội",Hà Nội,,21.025228,105.853205,4.6,1000,True,https://shopeefood.vn/ha-noi/ga-ran-burger-mcdonald-s-ho-guom
shopeefood,68237,"Papa's Kitchen - Đồ Ăn Hàn Quốc & Tokbokki, Cơm Trộn - Ngõ Hòa Bình 4",0975895871,"Số 14 Ngách 49 Ngõ Hòa Bình 4, P. Minh Khai, Hai Bà Trưng, Hà Nội",Hà Nội,,20.996807,105.85351801,4.7,1000,True,https://shopeefood.vn/ha-noi/papa-s-kitchen-do-an-han-quoc-tokbokki-com-tron-ngo-hoa-binh-4
shopeefood,76923,Super Chicken - Tiệm Gà Online,0902238244,"Ngách 33 Ngõ 9 Đào Tấn, P. Ngọc Khánh, Ba Đình, Hà Nội",Hà Nội,,21.03266655,105.80613433,4.8,1000,True,https://shopeefood.vn/ha-noi/super-chicken-tiem-ga-online
shopeefood,89039,"Kem Kitchen - Tiệm Gà Hàn Quốc, Tokbokki & Kimbap",0355460826,"Số 10 Ngõ 8 Lương Định Của, P. Kim Liên, Đống Đa, Hà Nội",Hà Nội,,21.00767679,105.83420836,4.7,1000,True,https://shopeefood.vn/ha-noi/kem-kitchen-tiem-ga-han-quoc-tokbokki-kimbap
shopeefood,96752,Trà Chanh Bụi Phố - Mai Anh Tuấn,0934228891,"36 Mai Anh Tuấn, P. Ô Chợ Dừa, Đống Đa, Hà Nội",Hà Nội,,21.0188501,105.82233048,4.7,1000,True,https://shopeefood.vn/ha-noi/tra-chanh-bui-pho-mai-anh-tuan
shopeefood,29617,Chân Gà Nướng Thịnh Vượng,0919392628,"5 Lý Văn Phức, P. Cát Linh, Đống Đa, Hà Nội",Hồ Chí Minh,,21.030894,105.831942,4.8,1000,True,https://shopeefood.vn/ha-noi/chan-ga-nuong-thinh-vuong
shopeefood,21641,Quán Cơm Hạt Dẻ - Cơm Gà Online,0903169886,"10 Ngõ 68 Triều Khúc, Thanh Xuân, Hà Nội",Hồ Chí Minh,,20.983461,105.799822,4.8,1000,True,https://shopeefood.vn/ha-noi/o-ga-com-ga-de-nhat
shopeefood,16325,Bánh Tráng Nướng & Chè Hạt Đác - 111 Đội Cấn,0388330316,"149 Đội Cấn, P. Ngọc Hà, Ba Đình, Hà Nội",Hồ Chí Minh,,21.03511841,105.82691061,4.7,1000,True,https://shopeefood.vn/ha-noi/banh-trang-nuong-che-hat-dac-111-doi-can
shopeefood,10941,Cha Go Tea & Caf'e - Dương Quảng Hàm,02422162636,"77 Dương Quảng Hàm, P. Quan Hoa, Cầu Giấy, Hà Nội",Hồ Chí Minh,,21.034788,105.799837,4.7,1000,True,https://shopeefood.vn/ha-noi/cha-go-tea-caf-e-duong-quang-ham
shopeefood,20638,Gà Rán & Burger McDonald's - Hồ Gươm,02488838385,"2 Hàng Bài, P. Tràng Tiền, Hoàn Kiếm, Hà Nội",Hồ Chí Minh,,21.025228,105.853205,4.6,1000,True,https://shopeefood.vn/ha-noi/ga-ran-burger-mcdonald-s-ho-guom
shopeefood,68237,"Papa's Kitchen - Đồ Ăn Hàn Quốc & Tokbokki, Cơm Trộn - Ngõ Hòa Bình 4",0975895871,"Số 14 Ngách 49 Ngõ Hòa Bình 4, P. Minh Khai, Hai Bà Trưng, Hà Nội",Hồ Chí Minh,,20.996807,105.85351801,4.7,1000,True,https://shopeefood.vn/ha-noi/papa-s-kitchen-do-an-han-quoc-tokbokki-com-tron-ngo-hoa-binh-4
shopeefood,76923,Super Chicken - Tiệm Gà Online,0902238244,"Ngách 33 Ngõ 9 Đào Tấn, P. Ngọc Khánh, Ba Đình, Hà Nội",Hồ Chí Minh,,21.03266655,105.80613433,4.8,1000,True,https://shopeefood.vn/ha-noi/super-chicken-tiem-ga-online
shopeefood,89039,"Kem Kitchen - Tiệm Gà Hàn Quốc, Tokbokki & Kimbap",0355460826,"Số 10 Ngõ 8 Lương Định Của, P. Kim Liên, Đống Đa, Hà Nội",Hồ Chí Minh,,21.00767679,105.83420836,4.7,1000,True,https://shopeefood.vn/ha-noi/kem-kitchen-tiem-ga-han-quoc-tokbokki-kimbap
shopeefood,96752,Trà Chanh Bụi Phố - Mai Anh Tuấn,0934228891,"36 Mai Anh Tuấn, P. Ô Chợ Dừa, Đống Đa, Hà Nội",Hồ Chí Minh,,21.0188501,105.82233048,4.7,1000,True,https://shopeefood.vn/ha-noi/tra-chanh-bui-pho-mai-anh-tuan
